timestamp_iso,elapsed_s,x,y,source_ip,source_port
2026-09-14T19:29:32.775+08:00,0.016000000,9947.000000000,21060.000000000,192.168.3.82,5000
2026-09-14T19:29:32.775+08:00,0.016000000,9987.000000000,21184.000000000,192.168.3.82,5000
2026-09-14T19:29:32.775+08:00,0.016000000,10032.000000000,21307.000000000,192.168.3.82,5000
2026-09-14T19:29:32.775+08:00,0.016000000,10078.000000000,21432.000000000,192.168.3.82,5000
2026-09-14T19:29:32.783+08:00,0.016000000,10120.000000000,21555.000000000,192.168.3.82,5000
2026-09-14T19:29:32.849+08:00,0.094000000,10158.000000000,21679.000000000,192.168.3.82,5000
2026-09-14T19:29:32.849+08:00,0.094000000,10194.000000000,21792.000000000,192.168.3.82,5000
2026-09-14T19:29:32.849+08:00,0.094000000,10224.000000000,21904.000000000,192.168.3.82,5000
2026-09-14T19:29:32.875+08:00,0.109000000,10257.000000000,22080.000000000,192.168.3.82,5000
2026-09-14T19:29:32.943+08:00,0.187000000,10276.000000000,22194.000000000,192.168.3.82,5000
2026-09-14T19:29:32.974+08:00,0.219000000,10299.000000000,22317.000000000,192.168.3.82,5000
2026-09-14T19:29:32.974+08:00,0.219000000,10320.000000000,22439.000000000,192.168.3.82,5000
2026-09-14T19:29:32.974+08:00,0.219000000,10341.000000000,22558.000000000,192.168.3.82,5000
2026-09-14T19:29:33.056+08:00,0.297000000,10375.000000000,22666.000000000,192.168.3.82,5000
2026-09-14T19:29:33.062+08:00,0.297000000,10408.000000000,22773.000000000,192.168.3.82,5000
2026-09-14T19:29:33.062+08:00,0.297000000,10456.000000000,22933.000000000,192.168.3.82,5000
2026-09-14T19:29:33.062+08:00,0.297000000,10483.000000000,23034.000000000,192.168.3.82,5000
2026-09-14T19:29:33.066+08:00,0.297000000,10518.000000000,23139.000000000,192.168.3.82,5000
2026-09-14T19:29:33.085+08:00,0.328000000,10558.000000000,23222.000000000,192.168.3.82,5000
2026-09-14T19:29:33.164+08:00,0.406000000,10607.000000000,23305.000000000,192.168.3.82,5000
2026-09-14T19:29:33.164+08:00,0.406000000,10659.000000000,23390.000000000,192.168.3.82,5000
2026-09-14T19:29:33.164+08:00,0.406000000,10735.000000000,23510.000000000,192.168.3.82,5000
2026-09-14T19:29:33.171+08:00,0.406000000,10785.000000000,23597.000000000,192.168.3.82,5000
2026-09-14T19:29:33.253+08:00,0.484000000,10833.000000000,23682.000000000,192.168.3.82,5000
2026-09-14T19:29:33.253+08:00,0.484000000,10887.000000000,23769.000000000,192.168.3.82,5000
2026-09-14T19:29:33.253+08:00,0.484000000,10944.000000000,23865.000000000,192.168.3.82,5000
2026-09-14T19:29:33.253+08:00,0.484000000,11018.000000000,24000.000000000,192.168.3.82,5000
2026-09-14T19:29:33.279+08:00,0.516000000,11074.000000000,24101.000000000,192.168.3.82,5000
2026-09-14T19:29:33.302+08:00,0.547000000,11122.000000000,24194.000000000,192.168.3.82,5000
2026-09-14T19:29:33.361+08:00,0.594000000,11170.000000000,24302.000000000,192.168.3.82,5000
2026-09-14T19:29:33.361+08:00,0.594000000,11218.000000000,24406.000000000,192.168.3.82,5000
2026-09-14T19:29:33.367+08:00,0.609000000,11278.000000000,24515.000000000,192.168.3.82,5000
2026-09-14T19:29:33.385+08:00,0.625000000,11333.000000000,24626.000000000,192.168.3.82,5000
2026-09-14T19:29:33.474+08:00,0.719000000,11421.000000000,24792.000000000,192.168.3.82,5000
2026-09-14T19:29:33.474+08:00,0.719000000,11486.000000000,24891.000000000,192.168.3.82,5000
2026-09-14T19:29:33.474+08:00,0.719000000,11545.000000000,24990.000000000,192.168.3.82,5000
2026-09-14T19:29:33.474+08:00,0.719000000,11608.000000000,25092.000000000,192.168.3.82,5000
2026-09-14T19:29:33.493+08:00,0.734000000,11675.000000000,25203.000000000,192.168.3.82,5000
2026-09-14T19:29:33.571+08:00,0.812000000,11741.000000000,25300.000000000,192.168.3.82,5000
