elapsed_s,x_unit,y_unit,radius_unit,radial_error_unit
0.016,155.421875,329.0625,147.47021100807316,-2.5297889919268357
0.016,156.046875,331.0,147.2531907880628,-2.7468092119372045
0.016,156.75,332.921875,146.9843949319642,-3.0156050680357964
0.016,157.46875,334.875,146.73589489815538,-3.2641051018446205
0.016,158.125,336.796875,146.56918378283214,-3.430816217167859
0.094,158.71875,338.734375,146.4948579582339,-3.5051420417661063
0.094,159.28125,340.5,146.43092774944267,-3.5690722505573262
0.094,159.75,342.25,146.47568057530916,-3.5243194246908445
0.109,160.265625,345.0,146.8015516152354,-3.198448384764589
0.187,160.5625,346.78125,147.07583675713866,-2.92416324286134
0.219,160.921875,348.703125,147.3591505074634,-2.640849492536603
0.219,161.25,350.609375,147.69181202047264,-2.3081879795273608
0.219,161.578125,352.46875,148.03237890771777,-1.9676210922822293
0.297,162.109375,354.15625,148.14426710795502,-1.8557328920449834
0.297,162.625,355.828125,148.2857719608177,-1.7142280391823022
0.297,163.375,358.328125,148.5549083370039,-1.4450916629961057
0.297,163.796875,359.90625,148.7953293918466,-1.2046706081534069
0.297,164.34375,361.546875,148.96521737079473,-1.0347826292052673
0.328,164.96875,362.84375,148.93883103685553,-1.0611689631444676
0.406,165.734375,364.140625,148.7994550797524,-1.2005449202476086
0.406,166.546875,365.46875,148.6468761825425,-1.3531238174574867
0.406,167.734375,367.34375,148.42296392641916,-1.5770360735808424
0.406,168.515625,368.703125,148.35181243889895,-1.6481875611010537
0.484,169.265625,370.03125,148.30998881802643,-1.6900111819735741
0.484,170.109375,371.390625,148.2167190325749,-1.7832809674250996
0.484,171.0,372.890625,148.16896845456753,-1.8310315454324666
0.484,172.15625,375.0,148.2195142822378,-1.7804857177621898
0.516,173.03125,376.578125,148.27431572958994,-1.7256842704100563
0.547,173.78125,378.03125,148.39153893711392,-1.6084610628860787
0.594,174.53125,379.71875,148.65223283935225,-1.3477671606477486
0.594,175.28125,381.34375,148.9012164679154,-1.0987835320846102
0.609,176.21875,383.046875,149.05898597142047,-0.9410140285795308
0.625,177.078125,384.78125,149.3239689570235,-0.67603104297649
0.719,178.453125,387.375,149.69313092879588,-0.3068690712041189
0.719,179.46875,388.921875,149.7827829894949,-0.21721701050509523
0.719,180.390625,390.46875,149.96998804578575,-0.030011954214245407
0.719,181.375,392.0625,150.15789866420613,0.15789866420612952
0.734,182.421875,393.796875,150.40767679304554,0.40767679304553894
0.812,183.453125,395.3125,150.55778534674195,0.5577853467419516
0.812,184.578125,396.765625,150.61804476939756,0.6180447693975566
0.812,185.75,398.171875,150.6345894574537,0.6345894574536999
0.812,186.984375,399.4375,150.53354410360046,0.5335441036004624
0.844,188.9375,401.125,150.20367682333878,0.2036768233387818
0.922,190.25,402.3125,150.04302768289503,0.043027682895029784
0.922,191.5,403.5,149.94832443211894,-0.051675567881062534
0.922,192.796875,404.65625,149.8180251966636,-0.18197480333640215
0.922,194.125,405.75,149.641498672661,-0.3585013273390132
1.016,196.140625,407.25,149.29612277413847,-0.7038772258615325
1.016,197.46875,408.21875,149.07701056207492,-0.9229894379250823
1.016,198.890625,409.125,148.7661632828199,-1.233836717180111
1.016,200.390625,410.046875,148.43295552253971,-1.5670444774602856
1.047,201.84375,411.046875,148.20950664963473,-1.7904933503652671
1.109,204.109375,412.46875,147.79794210155,-2.2020578984499934
1.109,205.5,413.46875,147.6665406466966,-2.3334593533033967
1.109,206.890625,414.40625,147.50642613782333,-2.4935738621766745
1.125,208.40625,415.3125,147.26298820583705,-2.737011794162953
1.156,209.75,416.25,147.1703944412734,-2.8296055587265982
1.219,211.96875,417.546875,146.8562862080753,-3.1437137919247107
1.219,213.4375,418.46875,146.7239282898754,-3.2760717101245973
1.219,214.875,419.328125,146.57921762997518,-3.420782370024824
1.234,216.28125,420.234375,146.50984278608425,-3.490157213915751
1.328,217.71875,421.109375,146.41613577216523,-3.5838642278347663
1.328,219.921875,422.5,146.3514813847664,-3.6485186152335984
1.328,221.296875,423.421875,146.3801254039675,-3.6198745960325027
1.328,222.75,424.265625,146.31988264292937,-3.6801173570706283
1.359,224.265625,425.15625,146.28664488155823,-3.7133551184417684
1.422,225.8125,426.078125,146.28560680998532,-3.7143931900146754
1.422,227.28125,427.0,146.34553837258755,-3.654461627412445
1.422,228.6875,427.9375,146.47005346657042,-3.5299465334295803
1.437,230.953125,429.265625,146.550580871951,-3.449419128048987
1.469,232.421875,430.234375,146.72353393425422,-3.2764660657457796
1.531,233.984375,431.046875,146.73563367977886,-3.264366320221143
1.531,235.515625,431.984375,146.8948939319582,-3.105106068041806
1.531,237.125,432.921875,147.0424784833132,-2.9575215166867963
1.547,238.59375,433.75,147.17265384256174,-2.8273461574382566
1.641,240.84375,435.046875,147.43513950659158,-2.5648604934084176
1.641,242.484375,435.875,147.54681543205405,-2.4531845679459536
1.641,244.0,436.703125,147.72861735210827,-2.271382647891727
1.641,245.46875,437.578125,147.99120820196762,-2.0087917980323766
1.656,246.953125,438.453125,148.26745687955685,-1.7325431204431538
1.734,248.40625,439.28125,148.5300698196328,-1.4699301803671858
1.734,249.859375,440.140625,148.8404415835335,-1.1595584164664956
1.734,251.328125,440.984375,149.14940633524577,-0.8505936647542285
1.734,252.90625,441.78125,149.39793887676296,-0.6020611232370356
1.766,255.234375,442.90625,149.75365595104222,-0.24634404895778061
1.812,256.703125,443.75,150.1288842453897,0.12888424538971321
1.812,258.171875,444.703125,150.62730969442842,0.6273096944284191
1.812,259.5625,445.546875,151.05986968257196,1.0598696825719571
1.844,261.0,446.453125,151.55697879763116,1.5569787976311602
1.875,263.171875,447.578125,152.10395711332185,2.1039571133218544
1.937,264.609375,448.375,152.5373297356769,2.537329735676906
1.937,266.03125,449.171875,152.99060189298598,2.9906018929859783
1.937,267.421875,449.953125,153.45121024541075,3.451210245410749
1.969,268.84375,450.65625,153.8441340387244,3.8441340387244054
2.047,270.421875,451.109375,153.97697454946388,3.9769745494638755
2.047,272.140625,451.484375,154.0248702142977,4.024870214297692
2.047,274.75,451.765625,153.85177097336458,3.85177097336458
2.047,276.578125,451.953125,153.74763876489698,3.7476387648969762
2.078,278.421875,452.09375,153.61680984702855,3.6168098470285486
2.125,280.328125,452.1875,153.45363411228038,3.4536341122803833
2.125,282.078125,452.25,153.30119407074307,3.3011940707430654
2.125,284.78125,452.390625,153.14866287190733,3.1486628719073337
2.156,286.59375,452.4375,153.0258767179999,3.0258767179998927
2.234,288.265625,452.375,152.82616327592808,2.8261632759280815
2.234,290.0,452.3125,152.64041947089245,2.6404194708924535
2.234,291.78125,452.28125,152.50287522904281,2.5028752290428145
2.25,294.53125,452.171875,152.27011120892413,2.270111208924135
2.281,296.375,452.015625,152.05884015452907,2.058840154529065
2.375,298.25,451.9375,151.94757782291234,1.9475778229123364
2.375,299.203125,451.890625,151.89271533768908,1.8927153376890828
2.375,302.1875,451.921875,151.93762292390133,1.9376229239013298
2.375,303.984375,451.96875,152.02097296328267,2.0209729632826736
2.375,305.859375,452.09375,152.20657365716215,2.206573657162153
2.484,307.84375,452.109375,152.3114781523478,2.311478152347803
2.484,310.765625,452.078125,152.4586986208273,2.458698620827306
2.484,312.65625,451.9375,152.46371558607805,2.4637155860780524
2.484,314.5,451.890625,152.58116516428436,2.581165164284357
2.547,316.296875,451.703125,152.57596884677235,2.575968846772355
2.578,318.0,451.59375,152.65865530346616,2.658655303466162
2.578,320.515625,451.40625,152.78986683744156,2.789866837441565
2.578,322.3125,451.125,152.76325893764508,2.7632589376450767
2.578,323.875,450.71875,152.59802497595604,2.5980249759560365
2.656,326.234375,450.046875,152.3230354506706,2.323035450670602
2.656,327.9375,449.453125,152.0419036927505,2.041903692750509
2.656,329.671875,448.984375,151.91038200253547,1.9103820025354707
2.672,331.515625,448.515625,151.82267777997214,1.822677779972139
2.766,333.171875,448.140625,151.8091501405836,1.809150140583597
2.766,335.0,447.65625,151.74771222019297,1.747712220192966
2.766,336.65625,447.046875,151.54690399783206,1.546903997832061
2.766,338.328125,446.484375,151.41571016627123,1.415710166271225
2.766,340.8125,445.640625,151.25095638256514,1.2509563825651355
2.859,342.515625,444.953125,151.05954725341346,1.0595472534134558
2.859,344.328125,444.296875,150.95221363325962,0.9522136332596176
2.859,346.015625,443.75,150.9354174610473,0.935417461047308
2.859,347.65625,443.15625,150.880184511171,0.8801845111709952
3.172,350.109375,442.15625,150.72938955941248,0.729389559412482
3.172,351.796875,441.578125,150.7557021750131,0.7557021750131128
3.172,353.40625,440.90625,150.68775274761052,0.6877527476105172
3.172,355.046875,440.1875,150.60774748835343,0.6077474883534251
3.172,356.6875,439.484375,150.5634866937885,0.5634866937884908
3.172,359.390625,438.359375,150.56746988736063,0.5674698873606303
3.172,361.09375,437.734375,150.6758253526528,0.6758253526527938
3.172,362.765625,437.09375,150.77871192812043,0.7787119281204298
3.172,364.453125,436.421875,150.8811893536807,0.8811893536806963
3.172,366.171875,435.796875,151.06127333231788,1.0612733323178816
3.172,367.828125,435.015625,151.09557748377762,1.0955774837776175
3.172,369.359375,434.15625,151.02523734281343,1.0252373428134263
3.172,370.90625,433.171875,150.87227903123267,0.8722790312326651
3.172,372.421875,432.234375,150.7675625264143,0.7675625264143093
3.203,374.578125,430.8125,150.57824173752869,0.5782417375286855
3.266,376.0,429.8125,150.4236854895199,0.4236854895198974
3.266,377.453125,428.875,150.35874499764097,0.3587449976409687
3.266,378.875,427.9375,150.29727053825695,0.29727053825695293
3.266,380.34375,426.921875,150.21411557366415,0.21411557366414513
3.375,382.5625,425.40625,150.1442437967986,0.14424379679860522
3.375,384.046875,424.46875,150.1877056347427,0.18770563474271285
3.375,384.828125,424.03125,150.2649718583081,0.2649718583080869
3.375,387.15625,422.609375,150.43028535488833,0.4302853548883263
3.391,388.59375,421.6875,150.52142769490496,0.5214276949049577
3.469,390.046875,420.8125,150.67879696067268,0.6787969606726847
3.469,391.53125,419.890625,150.83677167538798,0.836771675387979
3.484,392.921875,418.984375,150.96938877685187,0.9693887768518721
3.484,395.046875,417.3125,150.98387696544165,0.9838769654416524
3.484,396.28125,416.25,150.94416716641456,0.9441671664145588
3.516,397.671875,415.109375,150.96345047363698,0.963450473636982
3.578,398.90625,413.921875,150.86629806745484,0.8662980674548351
3.578,400.171875,412.703125,150.78593742713957,0.7859374271395723
3.578,401.453125,411.40625,150.67876131468603,0.6787613146860281
3.594,402.65625,410.125,150.55172296942504,0.5517229694250432
3.703,403.890625,408.75,150.39888451345183,0.39888451345183285
3.703,405.046875,407.390625,150.2251386591347,0.2251386591347
3.703,406.921875,405.484375,150.19733926623417,0.19733926623416664
3.703,407.484375,404.84375,150.15026734309575,0.15026734309574863
3.703,409.0625,402.953125,149.97991483367238,-0.020085166327618253
3.781,410.125,401.65625,149.87164104346925,-0.12835895653074658
3.781,411.328125,400.359375,149.88647559538603,-0.11352440461396895
3.781,412.421875,399.03125,149.81944618465963,-0.1805538153403745
3.781,413.625,397.703125,149.85506751446755,-0.14493248553245053
3.812,414.875,396.3125,149.90784929832728,-0.09215070167272188
3.891,416.015625,394.90625,149.88936430982395,-0.11063569017605346
3.891,417.40625,392.828125,149.67059941778186,-0.32940058221814184
3.891,418.28125,391.5,149.54164671275524,-0.458353287244762
3.891,419.171875,390.15625,149.43254399587167,-0.5674560041283314
3.922,420.34375,388.109375,149.1505284166071,-0.8494715833928979
3.984,421.1875,386.671875,148.99135569644847,-1.0086443035515344
3.984,421.9375,385.296875,148.8096461625241,-1.1903538374758966
3.984,422.625,383.828125,148.5397090545677,-1.4602909454322912
4.0,423.25,382.3125,148.20900835053854,-1.7909916494614606
